KEY	UK	EN	DE	FR
Action/&ActionTypeBonusDescription	Бонусна дія надається спеціальними здібностями та закляттями або при використанні зброї вільною рукою.	A bonus action is granted by special powers and spells, or when equipping an off-hand weapon.	Eine Bonusaktion wird durch Spezialkräfte und Zauber oder durch das Anlegen einer Zweitwaffe freigeschaltet.	A bonus action is granted by special powers and spells, or when equipping an off-hand weapon.
Action/&ActionTypeBonusTitle	Бонус	Bonus	Bonus	Bonus
Action/&ActionTypeBonusUnavailableMultipleDescription	Ви використали цю бонусну дію.	You have used this bonus action.	Du hast diese Bonusaktion bereits eingesetzt.	You have used this bonus action.
Action/&ActionTypeBonusUnavailableSingleDescription	Ви використали свою бонусну дію.	You have used your bonus action.	Du hast deine Bonusaktion bereits eingesetzt.	You have used your bonus action.
Action/&ActionTypeFreeOnceAvailableMultipleDescription	Ця безкоштовна дія доступна!	This free action is available!	Diese freie Aktion ist verfügbar!	This free action is available!
Action/&ActionTypeFreeOnceAvailableSingleDescription	Твоя безкоштовна дія доступна!	Your free action is available!	Deine freie Aktion ist verfügbar!	Your free action is available!
Action/&ActionTypeFreeOnceDescription	Ви можете виконувати певні вільні дії під час свого ходу, такі як укладання зброї або кинути предмет.	You can take certain free actions during your turn, such as sheathing a weapon or dropping an item.	Du kannst während deines Zuges bestimmte freie Aktionen ausführen, z. B. eine Waffe wegstecken oder einen Gegenstand fallenlassen.	You can take certain free actions during your turn, such as sheathing a weapon or dropping an item.
Action/&ActionTypeFreeOnceTitle	Вільно	Free	Frei	Free
Action/&ActionTypeFreeOnceUnavailableMultipleDescription	Ви використали цю безкоштовну дію.	You have used this free action.	Du hast diese freie Aktion bereits eingesetzt.	You have used this free action.
Action/&ActionTypeFreeOnceUnavailableSingleDescription	Ви використали свою безкоштовну дію.	You have used your free action.	Du hast deine freie Aktion bereits eingesetzt.	You have used your free action.
Action/&ActionTypeMainAvailableMultipleDescription	Ця основна дія доступна!	This main action is available!	Diese Hauptaktion ist verfügbar!	This main action is available!
Action/&ActionTypeMainAvailableSingleDescription	Твоя основна дія доступна!	Your main action is available!	Deine Hauptaktion ist verfügbar!	Your main action is available!
Action/&ActionTypeMainDescription	Ваша основна дія — це головне, що ви робите під час свого ходу, наприклад, рух, атака, накладення закляття або використання здібності.	Your main action is the main thing you do during your turn, such as moving, attacking, casting a spell, or using an ability.	Deine Hauptaktion ist die wichtigste Aktion während deines Zuges, zum Beispiel eine Bewegung, ein Angriff, das Wirken eines Zaubers oder der Einsatz einer Fähigkeit.	Your main action is the main thing you do during your turn, such as moving, attacking, casting a spell, or using an ability.
Action/&ActionTypeMainTitle	Основні дії	Main Actions	Hauptaktionen	Main Actions
Action/&ActionTypeMainUnavailableMultipleDescription	Ви використали цю основну дію.	You have used this main action.	Du hast diese Hauptaktion bereits eingesetzt.	You have used this main action.
Action/&ActionTypeMainUnavailableSingleDescription	Ви використали свою основну дію.	You have used your main action.	Du hast deine Hauptaktion bereits eingesetzt.	You have used your main action.
Action/&ActionTypeMoveDescription	Основна дія руху зазвичай передбачає витрачання очок швидкості. Стрибки та сходження вимагають кидків здатностей.	The move action usually involves spending speed points to move. Jumping and climbing require ability checks.	Normalerweise musst du für die Bewegungsaktion Bewegungspunkte ausgeben. Springen und Klettern erfordern Attributsproben.	The move action usually involves spending speed points to move. Jumping and climbing require ability checks.
Action/&ActionTypeMoveTitle	Рух	Move	Bewegen	Move
Action/&ActionTypeOtherDescription	Інші дії можна виконувати вільно або витрачаючи очки руху.	Other actions can be performed freely or by spending move points.	Sonstige Aktionen können frei oder durch das Ausgeben von Aktionspunkten ausgeführt werden.	Other actions can be performed freely or by spending move points.
Action/&ActionTypeOtherTitle	Інше	Other	Sonstige	Other
Action/&ActionTypeReactionAvailableMultipleDescription	Ця реакція доступна!	This reaction is available!	Diese Reaktion ist verfügbar!	This reaction is available!
Action/&ActionTypeReactionAvailableSingleDescription	Твоя реакція доступна!	Your reaction is available!	Deine Reaktion ist verfügbar!	Your reaction is available!
Action/&ActionTypeReactionDescription	Реакцію можуть спровокувати певні умови, наприклад, контратака.	Specific conditions can trigger a reaction, such as an opportunity attack.	Bestimmte Bedingungen können eine Reaktion hervorrufen, zum Beispiel einen Gelegenheitsangriff.	Specific conditions can trigger a reaction, such as an opportunity attack.
Action/&ActionTypeReactionTitle	Реакція	Reaction	Reaktion	Reaction
Action/&ActionTypeReactionUnavailableMultipleDescription	Ви вже використали цю реакцію.	You have used this reaction.	Du hast diese Reaktion bereits eingesetzt.	You have used this reaction.
Action/&ActionTypeReactionUnavailableSingleDescription	Ви вже використали свою реакцію.	You have used your reaction.	Du hast deine Reaktion bereits eingesetzt.	You have used your reaction.
Action/&ActionUnlockDescription		[OBSOLETE]Click to unlock this object.	[OBSOLETE]Click to unlock this object.	[OBSOLETE]Click to unlock this object.
Action/&AssignTargetDescription	Ви можете обрати нову ціль для {0}.	You can select a new target for {0}.	Du kannst für {0} ein neues Ziel auswählen.	You can select a new target for {0}.
Action/&AssignTargetTitle	Ціль	Target	Ziel	Target
Action/&AttackCoverFullDescription	Ціль повністю прикрита перешкодою.	The target has total cover behind an obstacle.	Das Ziel ist hinter einem Hindernis in voller Deckung.	The target has total cover behind an obstacle.
Action/&AttackCoverHalfDescription	Ціль має напівприкриття ({0} КЗ).	The target has half cover ({0} AC).	Das Ziel ist in Teildeckung ({0} RK).	The target has half cover ({0} AC).
Action/&AttackCoverThreeQuartersDescription	Ціль має укриття на три чверті ({0} КЗ).	The target has three-quarters cover ({0} AC).	Das Ziel ist in Dreivierteldeckung ({0} RK).	The target has three-quarters cover ({0} AC).
Action/&AttackDescription	Атакувати ворожу ціль цією зброєю: {0} ({1} до влучення)\n{2}	Attack an enemy target with this weapon: {0} ({1} to Hit)\n {2}	Greife ein gegnerisches Ziel mit dieser Waffe an: {0} ({1} zu Treffer)\n{2}	Attack an enemy target with this weapon: {0} ({1} to Hit)\n {2}
Action/&AttackExecuteAdvantageDescription	Атакуйте ціль з перевагою!	Attack the target with advantage!	Greife das Ziel mit Vorteil an!	Attack the target with advantage!
Action/&AttackExecuteAdvantageGamepadDescription	Натисніть <sprite index={0}>, щоб атакувати ціль із перевагою!	Press <sprite index={0}> to attack the target with advantage!	Drücke <sprite index={0}>, um das Ziel mit Vorteil anzugreifen!	Press <sprite index={0}> to attack the target with advantage!
Action/&AttackExecuteDescription	Атакуйте ціль!	Attack the target!	Greife das Ziel an!	Attack the target!
Action/&AttackExecuteDisadvantageDescription	Атакувати ціль з перешкодою.	Attack the target with disadvantage.	Greife das Ziel mit Nachteil an.	Attack the target with disadvantage.
Action/&AttackExecuteDisadvantageGamepadDescription	Натисніть <sprite index={0}>, щоб атакувати ціль з перешкодою.	Press <sprite index={0}> to attack the target with disadvantage.	Drücke <sprite index={0}>, um das Ziel mit Nachteil anzugreifen.	Press <sprite index={0}> to attack the target with disadvantage.
Action/&AttackExecuteGamepadDescription	Натисніть <sprite index={0}>, щоб атакувати ціль!	Press <sprite index={0}> to attack the target!	Drücke <sprite index={0}>, um das Ziel anzugreifen!	Press <sprite index={0}> to attack the target!
Action/&AttackIterativeDescription	Ви можете атакувати {0} рази протягом свого ходу, а також чергувати атаки між рухами.	You can attack {0} times during your turn, and intersperse your attacks between moves.	Du kannst während deines Zugs {0}-mal angreifen und Angriffe zwischen Bewegungen einstreuen.	You can attack {0} times during your turn, and intersperse your attacks between moves.
Action/&AttackTitle	Атака	Attack	Angriff	Attack
Action/&AttackToss_Title	Кинути	Toss	Werfen	Toss
Action/&BlockAttackDescription	Накладає перешкоду на ворога, який атакує сусіднього союзника.	Impose disadvantage on an enemy attacking a nearby ally.	Verleiht einem Gegner Nachteil, wenn er einen nahen Verbündeten angreift.	Impose disadvantage on an enemy attacking a nearby ally.
Action/&BlockAttackTitle	Блокувати атаку	Block attack	Angriff blocken	Block attack
Action/&BreakEnchantmentDescription	Дотримайся істоти, щоб прибрати шкідливий стан (зачарований, переляканий, опанований).	Touch a creature to remove a detrimental condition (charmed, frightened, possessed).	Berühre eine Kreatur, um einen nachteiligen Zustand zu entfernen (bezaubert, verängstigt, besessen).	Touch a creature to remove a detrimental condition (charmed, frightened, possessed).
Action/&BreakEnchantmentTitle	Зламати чари	Break Enchantment	Verzauberung brechen	Break Enchantment
Action/&BreakFreeDescription	Витратьте свою дію, щоб звільнитися силою чи спритністю.	Spend your action breaking free, through might or agility.	Verwende deine Aktion, um dich mit Gewalt oder Agilität zu befreien.	Spend your action breaking free, through might or agility.
Action/&BreakFreeTitle	Звільнитися	Break Free	Befreien	Break Free
Action/&CastDescription	Вибрати та накласти закляття.	Select and cast a spell.	Wähle und wirke einen Zauber.	Select and cast a spell.
Action/&CastInvocationDescription	Оберіть виклик, який може активувати ефект подібний до закляття. Інші виклики постійні і не потребують конкретного виклику.	Select an invocation which can activate a spell-like effect. Other invocations are permanent and do not require a specific invocation.	Wähle eine Anrufung, die einen zauberähnlichen Effekt aktivieren kann. Andere Anrufungen sind permanent und benötigen keine spezifische Anrufung.	Select an invocation which can activate a spell-like effect. Other invocations are permanent and do not require a specific invocation.
Action/&CastInvocationTitle	Виклик	Invocation	Anrufung	Invocation
Action/&CastRitualDescription	Накласти закляття як ритуал (триває 10 хвилин, не використовує комірку закляття).	Cast spell as a ritual (takes 10 minutes, does not use a spell slot).	Wirke einen Zauber als Ritual (dauert 10 Minuten, erfordert keinen Zauberplatz).	Cast spell as a ritual (takes 10 minutes, does not use a spell slot).
Action/&CastRitualTitle	Ритуал	Ritual	Ritual	Ritual
Action/&CastSpellHigherSlotAddDiceTile	Додати {0} кубики до ефекту.	Add {0} dice to the effect.	Verstärke den Effekt um {0} Würfel.	Add {0} dice to the effect.
Action/&CastSpellHigherSlotAddDieTile	Додати {0} кубик до ефекту.	Add {0} die to the effect.	Verstärke den Effekt um {0} Würfel.	Add {0} die to the effect.
Action/&CastSpellHigherSlotAddHPTile	Додати {0} очок здоров'я.	Add {0} more hit points.	Erhöhe die Trefferpunkte um {0}.	Add {0} more hit points.
Action/&CastSpellHigherSlotAddItemBonusTile	Збільшити бонус предмета на {0}.	Increase item bonus by {0}.	Erhöhe den Gegenstandsbonus um {0}.	Increase item bonus by {0}.
Action/&CastSpellHigherSlotAddSpellLevelPluralTile	{0} додаткових рівнів закляття.	{0} additional spell levels.	{0} zusätzliche Zauberstufen.	{0} additional spell levels.
Action/&CastSpellHigherSlotAddSpellLevelSingleTile	{0} додатковий рівень закляття.	{0} additional spell level.	{0} zusätzliche Zauberstufe.	{0} additional spell level.
Action/&CastSpellHigherSlotAddSummonPluralTile	Викликати {0} додаткових істот.	Conjure {0} additional creatures.	Beschwöre {0} zusätzliche Kreaturen.	Conjure {0} additional creatures.
Action/&CastSpellHigherSlotAddSummonSingleTile	Викликати {0} додаткову істоту.	Conjure {0} additional creature.	Beschwöre {0} zusätzliche Kreatur.	Conjure {0} additional creature.
Action/&CastSpellHigherSlotAddTargetCellsTile	Ціль {0} додаткові клітинки.	Target {0} additional cells.	Ziele auf {0} zusätzliche Felder.	Target {0} additional cells.
Action/&CastSpellHigherSlotAddTargetPluralTile	Додати {0} цілей.	Add {0} targets.	Füge {0} Ziele hinzu.	Add {0} targets.
Action/&CastSpellHigherSlotAddTargetSingleTile	Додати {0} ціль.	Add {0} target.	Füge {0} Ziel hinzu.	Add {0} target.
Action/&CastSpellHigherSlotAddTempHPTile	Додати {0} тимчасові очки здоров'я.	Add {0} temporary hit points.	Füge {0} temporäre Trefferpunkte hinzu.	Add {0} temporary hit points.
Action/&CastSpellHigherSlotAddWeaponDieTile	Збільшити кубик пошкодження зброї на {0}.	Increase weapon damage dice by {0}.	Erhöhe Schadenswürfel um {0}.	Increase weapon damage dice by {0}.
Action/&CastSpellHigherSlotTile	Накласти закляття, використовуючи комірку {0} рівня.	Cast spell using a level {0} slot.	Wirke Zauber mit Level-{0}-Zauberplatz.	Cast spell using a level {0} slot.
Action/&CastTitle	Накласти закляття	Cast Spell	Zauber wirken	Cast Spell
Action/&CautiousDescription	Активувати/деактивувати режим крадькома. Скрадаючись персонаж більш не помітний і краще розуміє приховані предмети та істоти.	Activate/deactivate cautious mode. A cautious character is stealthier and more aware of hidden objects and creatures.	Schleichmodus ein-/ausschalten. Ein vorsichtiger Charakter ist heimlicher und nimmt verborgene Objekte und Kreaturen besser wahr.	Activate/deactivate cautious mode. A cautious character is stealthier and more aware of hidden objects and creatures.
Action/&CautiousTitle	Крадькома	Cautious	Schleichen	Cautious
Action/&ClimbDescription	Підніматися або спускатися по поверхнях. Сходження по слизькій вертикальній поверхні також вимагає успішного кидка Сили (Атлетики).	Climb up or down surfaces. Climbing a slippery vertical surface also requires a successful Strength (Athletics) check.	An Oberflächen empor- oder hinabklettern. Das Klettern an rutschigen vertikalen Oberflächen erfordert zusätzlich eine erfolgreiche Stärkeprobe (Athletik).	Climb up or down surfaces. Climbing a slippery vertical surface also requires a successful Strength (Athletics) check.
Action/&ClimbTitle	Сходження	Climb	Klettern	Climb
Action/&CunningActionDescription	Починаючи з другого рівня, ваша швидка реакція та спритність дозволяють вам швидко рухатися й діяти. Ви можете робити бонусну дію на кожному з ваших ходів у бою. Ця дія може використовуватися лише для виконання дії ривок або відступ.	Starting at 2nd level, your quick thinking and agility allow you to move and act quickly. You can take a bonus action on each of your turns in combat. This action can be used only to take the Dash or Disengage action.	Ab Stufe 2 ermöglicht dir deine geistige und körperliche Agilität, dich schnell zu bewegen und entschlossen zu handeln. Du kannst in jedem deiner Züge eine Bonusaktion verwenden, um damit die Spurten- oder Rückzugsaktion auszuführen.	Starting at 2nd level, your quick thinking and agility allow you to move and act quickly. You can take a bonus action on each of your turns in combat. This action can be used only to take the Dash or Disengage action.
Action/&CunningActionTitle	Спритна дія	Cunning Action	Raffinierte Aktion	Cunning Action
Action/&DashDescription	Коли ви виконуєте дію ривок, ви отримуєте додатковий рух на поточний хід. Збільшення дорівнює вашій швидкості після застосування будь-яких модифікаторів.	When you take the Dash action, you gain extra movement for your current turn. The increase equals your speed, after applying any modifiers.	Bei der Aktion Spurten erhältst du für den aktuellen Zug zusätzliche Bewegung. Die Erhöhung entspricht deiner Bewegung, nachdem alle Modifikatoren angerechnet wurden.	When you take the Dash action, you gain extra movement for your current turn. The increase equals your speed, after applying any modifiers.
Action/&DashTitle	Ривок	Dash	Spurten	Dash
Action/&DelayedBlastFireballDetonateDescription	Вибухніть відкладену вибухову вогняну кулю.	Detonate the delayed blast fireball.	Bringe den Spätzündenden Feuerball zum Explodieren.	Detonate the delayed blast fireball.
Action/&DelayedBlastFireballDetonateTitle	Вибухнути відкладену вибухову вогняну кулю	Detonate Delayed Blast Fireball	Spätzündenden Feuerball zum Explodieren bringen	Detonate Delayed Blast Fireball
Action/&DisengageDescription	"Якщо ви виконуєте дію ""Відступ"", ваш рух не спричиняє контратак до кінця ходу."	If you take the Disengage action, your movement doesn't provoke opportunity attacks for the rest of the turn.	Bei der Aktion Rückzug löst deine Bewegung in diesem Zug keine Gelegenheitsangriffe aus.	If you take the Disengage action, your movement doesn't provoke opportunity attacks for the rest of the turn.
Action/&DisengageTitle	Відступ	Disengage	Rückzug	Disengage
Action/&DismissalDescription	Виконати ближній магічний напад, щоб відправити надпланарного небесного, елементальне істоту, фею, демонічну істоту або нежить на їхню площину існування.	Execute a melee magical attack to send an extraplanar celestial, elemental, fey, fiend, or undead to its plane of existence.	Führe einen magischen Nahkampfangriff aus, um einen Himmlischen, einen Elementar, eine Fee, einen Unhold oder einen Untoten aus der Äußeren Ebene dorthin zurück zu verbannen.	Execute a melee magical attack to send an extraplanar celestial, elemental, fey, fiend, or undead to its plane of existence.
Action/&DismissalTitle	Відпущення	Dismissal	Entlassung	Dismissal
Action/&DodgeDescription	Коли ти виконуєш дію Ухилення, то зосереджуєшся виключно на уникненні атак. До початку свого наступного ходу будь-який кидок атаки проти тебе має перешкоду, якщо ти бачиш нападника, і ти робиш кидки рятунку на Ловкість з перевагою.	When you take the Dodge action, you focus entirely on avoiding attacks. Until the start of your next turn, any attack roll made against you has disadvantage if you can see the attacker, and you make Dexterity saving throws with advantage.	Wenn du die Aktion Ausweichen einsetzt, konzentrierst du dich ganz darauf, Angriffen auszuweichen. Bis zu Beginn deines nächsten Zuges sind alle Angriffswürfe gegen dich im Nachteil, wenn du den Angreifer sehen kannst. Außerdem bist du bei deinen Geschicklichkeits-Rettungswürfen im Vorteil.	When you take the Dodge action, you focus entirely on avoiding attacks. Until the start of your next turn, any attack roll made against you has disadvantage if you can see the attacker, and you make Dexterity saving throws with advantage.
Action/&DodgeTitle	Ухилення	Dodge	Ausweichen	Dodge
Action/&DragonWingsDismissDescription	Знімає крила дракона та здатність літати.	Dismisses the Dragon Wings and flying capacity.	Verwirft die Drachenflügel und Flugfähigkeit.	Dismisses the Dragon Wings and flying capacity.
Action/&DragonWingsDismissTitle	Зняти	Dismiss	Entlassen	Dismiss
Action/&DropProneDescription	Ви можете впасти ниць, не витрачаючи жодної швидкості. Щоб рухатися лежачи на землі, потрібно повзти або використати магію, наприклад телепортацію. Вартість руху під час повзання подвоюється. Вартість повзання у складній місцевості, отже, потроюється. Впасти ниць додає стан Ниць: ближні атаки проти вас мають перевагу, дальні атаки проти вас мають перешкоду, ваші власні атаки мають перешкоду.	You can drop prone without using any of your speed. To move while prone, you must crawl or use magic such as teleportation. The cost of moving while crawling is doubled. The cost of crawling in difficult terrain, therefore, is tripled. Dropping prone adds the Prone condition: melee attacks against you have advantage, ranged attacks against you have disadvantage, your own attacks have disadvantage.	Du kannst dich in liegende Position fallenlassen, ohne deine Bewegungsrate aufzubrauchen. Um dich in liegender Position fortzubewegen, musst du kriechen oder Zauber wie Teleportation einsetzen. Kriechen kostet doppelt so viele Bewegungspunkte in normalem und dreimal so viele Bewegungspunkte in schwierigem Gelände. Du erhältst den Zustand „Liegend“: Nahkampfangriffe gegen dich haben Vorteil; Fernkampfangriffe gegen dich haben Nachteil; deine eigenen Angriffe haben Nachteil.	You can drop prone without using any of your speed. To move while prone, you must crawl or use magic such as teleportation. The cost of moving while crawling is doubled. The cost of crawling in difficult terrain, therefore, is tripled. Dropping prone adds the Prone condition: melee attacks against you have advantage, ranged attacks against you have disadvantage, your own attacks have disadvantage.
Action/&DropProneTitle	Впасти	Drop	Fallenlassen	Drop
Action/&EnemyCreatureTitle	Ворожа істота	Enemy Creature	Gegnerische Kreatur	Enemy Creature
Action/&EnemyTargetHeaderTitle	{0} (ворожий)	{0} (Enemy)	{0} (Gegner)	{0} (Enemy)
Action/&EquipDescription	Одягти або зняти предмет.	Equip or unequip an item.	Gegenstand ausrüsten oder ablegen.	Equip or unequip an item.
Action/&EquipTitle	Одягнути	Equip	Ausrüsten	Equip
Action/&ExtinguishDescription	Згасити вогонь, який на тебе впливає.	Extinguish a fire that affects you.	Ein Feuer löschen, das dich bedroht.	Extinguish a fire that affects you.
Action/&ExtinguishTitle	Згасити	Extinguish	Löschen	Extinguish
Action/&FlurryOfBlowsDescription	"Після використання дії ""Атака"" у свій хід, ви можете витратити 1 очко Кі для нанесення двох ударів без зброї як бонусну дію."	Once the Attack action is used on your turn, you can spend 1 Ki point to make two unarmed strikes as a bonus action.	Hast du die Angriffsaktion in deinem Zug eingesetzt, kannst du 1 Ki-Punkt ausgeben, um zwei unbewaffnete Schläge als Bonusaktion auszuführen.	Once the Attack action is used on your turn, you can spend 1 Ki point to make two unarmed strikes as a bonus action.
Action/&FlurryOfBlowsSwiftStepsDescription	Після використання дії Атакувати у свій хід ти можеш витратити 1 очко Кі, щоб зробити два удари без зброї як бонусну дію. Крім того, ти отримуєш перевагу при наступному атакуванні та користуєшся дією Ривок до кінця свого ходу.	Once the Attack action is used on your turn, you can spend 1 Ki point to make two unarmed strikes as a bonus action. Additionally, you gain advantage on your next attack, and you gain the benefit of the Dash action until the end of your turn.	Sobald du die Angriffsaktion in deinem Zug eingesetzt hast, kannst du 1 Ki-Punkt ausgeben, um zwei unbewaffnete Schläge als Bonusaktion auszuführen. Zusätzlich erhältst du einen Vorteil bei deinem nächsten Angriff und profitierst bis zum Ende deines Zuges von der „Spurten“-Aktion.	Once the Attack action is used on your turn, you can spend 1 Ki point to make two unarmed strikes as a bonus action. Additionally, you gain advantage on your next attack, and you gain the benefit of the Dash action until the end of your turn.
Action/&FlurryOfBlowsSwiftStepsTitle	Серія ударів – покращений	Flurry of Blows - Improved	Schlaghagel – verbessert	Flurry of Blows - Improved
Action/&FlurryOfBlowsTitle	Серія ударів	Flurry of Blows	Schlaghagel	Flurry of Blows
Action/&FlurryOfBlowsUnendingStrikesDescription	Після використання дії Атаку в вашому ході ви можете витратити 1 Кі-очко, щоб зробити три удари без зброї як бонусну дію.	After the Attack action has been used on your turn, you can spend 1 Ki point to make three unarmed strikes as a bonus action.	Nachdem die Angriffsaktion in deinem Zug eingesetzt wurde, kannst du 1 Ki-Punkt ausgeben, um drei unbewaffnete Schläge als Bonusaktion auszuführen.	After the Attack action has been used on your turn, you can spend 1 Ki point to make three unarmed strikes as a bonus action.
Action/&FlurryOfBlowsUnendingStrikesTitle	Серія ударів - покращений II	Flurry of Blows - Improved II	Schlaghagel – verbessert II	Flurry of Blows - Improved II
Action/&FriendlyCreatureTitle	Дружелюбна істота	Friendly Creature	Befreundete Kreatur	Friendly Creature
Action/&FriendlyTargetHeaderTitle	{0} (Дружелюбний)	{0} (Friendly)	{0} (Befreundet)	{0} (Friendly)
Action/&HideDescription	Коли ти виконуєш дію Сховатися, ти робиш кидок Здібності (Хитрість), щоб сховатися, дотримуючись правил для ховання. Якщо вдається, то будь-який кидок атаки проти тебе має перешкоду, а ти маєш перевагу на своїх атаках. Це триває, поки ти залишаєшся невиявленим. Ти не можеш спробувати сховатися, якщо зараз виявлений.	When you take the Hide action, you make a Dexterity (Stealth) check in an attempt to hide, following the rules for hiding. If you succeed, any attack roll made against you has disadvantage and you have advantage on your attacks. This lasts while you remain undetected. You cannot try to hide if you are currently detected.	Wenn du die Aktion Verstecken einsetzt, machst du eine Geschicklichkeitsprobe (Heimlichkeit), um dich zu verstecken. Dabei gelten die Regeln für Verstecken. Bei Erfolg sind alle Angriffswürfe gegen dich im Nachteil und deine eigenen Angriffswürfe im Vorteil. Dieser Effekt hält so lange an, bis du entdeckt wirst. Du kannst nicht versuchen, dich zu verstecken, wenn du gerade entdeckt wurdest.	When you take the Hide action, you make a Dexterity (Stealth) check in an attempt to hide, following the rules for hiding. If you succeed, any attack roll made against you has disadvantage and you have advantage on your attacks. This lasts while you remain undetected. You cannot try to hide if you are currently detected.
Action/&HideTitle	Сховатися	Hide	Verstecken	Hide
Action/&InventoryDescription	Керуйте інвентарем персонажа.	Manage your character inventory.	Dein Charakterinventar verwalten.	Manage your character inventory.
Action/&InventoryTitle	Інвентар	Inventory	Inventar	Inventory
Action/&JumpDescription	Зробити короткий або довгий стрибок.	Make a short or long jump.	Einen kurzen oder langen Sprung machen.	Make a short or long jump.
Action/&JumpTitle	Стрибок	Jump	Springen	Jump
Action/&LevitateDescription	Переміщайте зазначеного персонажа вгору та вниз.	Move the affected character up and down.	Den betroffenen Charakter nach oben und/oder unten bewegen.	Move the affected character up and down.
Action/&LevitateTitle	Повітряна подорож	Levitate	Schweben	Levitate
