MainMenu/&StartingLevelRange	{0}-{1}
Action/&DodgeDescription	Коли ти виконуєш дію Ухилення, то зосереджуєшся виключно на уникненні атак. До початку свого наступного ходу будь-який кидок атаки проти тебе має перешкоду, якщо ти бачиш нападника, і ти робиш кидки рятунку на Ловкість з перевагою.
Action/&DodgeTitle	Ухилення
Action/&DropProneDescription	Ви можете впасти ниць, не витрачаючи жодної швидкості. Щоб рухатися лежачи на землі, потрібно повзти або використати магію, наприклад телепортацію. Вартість руху під час повзання подвоюється. Вартість повзання у складній місцевості, отже, потроюється. Впасти ниць додає стан Ниць: ближні атаки проти вас мають перевагу, дальні атаки проти вас мають перешкоду, ваші власні атаки мають перешкоду.
Action/&DropProneTitle	Впасти
Action/&EnemyCreatureTitle	Ворожа істота
Action/&EnemyTargetHeaderTitle	{0} (ворожий)
Action/&EquipDescription	Одягти або зняти предмет.
Action/&EquipTitle	Одягнути
Action/&ExtinguishDescription	Згасити вогонь, який на тебе впливає.
Action/&ExtinguishTitle	Згасити
Action/&FriendlyCreatureTitle	Дружелюбна істота
Action/&FriendlyTargetHeaderTitle	{0} (Дружелюбний)
Action/&HideDescription	Коли ти виконуєш дію Сховатися, ти робиш кидок Здібності (Хитрість), щоб сховатися, дотримуючись правил для ховання. Якщо вдається, то будь-який кидок атаки проти тебе має перешкоду, а ти маєш перевагу на своїх атаках. Це триває, поки ти залишаєшся невиявленим. Ти не можеш спробувати сховатися, якщо зараз виявлений.
Action/&HideTitle	Сховатися
Action/&InventoryDescription	Керуйте інвентарем персонажа.
Action/&InventoryTitle	Інвентар
Action/&JumpDescription	Зробити короткий або довгий стрибок.
Action/&JumpTitle	Стрибок
Action/&LevitateDescription	Переміщайте зазначеного персонажа вгору та вниз.
Action/&LevitateTitle	Повітряна подорож
Action/&MoveDescription	Рухатися на відстань до своєї швидкості в зазначений напрямок. Ви можете розділити свій рух між іншими діями.
Action/&MoveTitle	Рух
Action/&NeutralCreatureTitle	Нейтральна істота
Action/&NeutralTargetHeaderTitle	{0} (нейтральний)
Action/&PickUpDescription	Підняти предмет на позиції персонажа.
Action/&PickUpTitle	Підняти
Action/&PowerDescription	Активувати силу чи спеціальну здібність.
Action/&PowerTitle	Використати силу
Action/&ReadyDescription	Відкласти атаку до пізнішого моменту в ході ходу.
Action/&ReadyTitle	Підготувати дію
Action/&ShoveDescription	Використайте свою Силу, щоб відштовхнути істоту на одну клітинку від вас або повалити її. Ціль не має бути більше ніж на один розмір більшою за вас і повинна перебувати в межах вашого досягу.
Action/&ShoveTitle	Штовхання
Action/&SpellCoverHalfDescription	Ціль має напівукриття ({0} кидок рятунку).
Action/&SpellCoverThreeQuartersDescription	Ціль має тричвертє укриття ({0} кидок рятунку).
Action/&SpellExecuteDescription	Оберіть цю ціль для вашого закляття.
Action/&StandUpDescription	Піднятися коштує руху, рівного половині вашої швидкості. Ви не можете піднятися, якщо у вас недостатньо залишків руху або якщо ваша швидкість дорівнює 0.
Action/&StandUpTitle	Стояти
Action/&UseFunctionAdditionalChargePlural	Накласти закляття, використовуючи {0} додаткові заряди предмета.
Action/&UseFunctionAdditionalChargeSingle	Накласти закляття, використовуючи додатковий заряд предмета.
Action/&UseItemDescription	Використати спеціальні функції пристрою або магічного предмета.
Action/&UseItemTitle	Використати предмет
Action/&VampiricTouchDescription	Вчини мелеву атаку закляттям на ціль, завдавши 3d6 некротного ушкодження та відновивши очки здоров'я в розмірі половини завданого ушкодження.
Action/&VampiricTouchTitle	Вплив вампіра
MainMenu/&ChangeCampaignTitle	Змінити кампанію
MainMenu/&ChangeCharacterSlotTitle	Змінити
MainMenu/&ContinueTitle	Продовжити
MainMenu/&EmptySlotTitle	Порожньо
MainMenu/&ExportPdfDescription	Експортує вибраного персонажа у друковно-зручний файл PDF
MainMenu/&ExportPdfTitle	Експорт PDF
MainMenu/&InspectCharacterDescription	Відкрити інвентар персонажа та його характеристики.
MainMenu/&InspectCharacterTitle	Огляд
MainMenu/&LevelUpCharacterDescription	Починає послідовність підвищення рівня персонажа. Деякі кампанії вимагають або забороняють персонажів рівня вище 1.
MainMenu/&LevelUpCharacterTitle	Підвищення рівня
MainMenu/&LicenseDescription	Відобразити інформацію про ліцензію для цієї гри.
MainMenu/&LicenseTitle	Ліцензія
MainMenu/&LoadGameDescription	Завантажити попередньо збережений ігровий стан.
MainMenu/&LoadGameTitle	Завантажити гру
MainMenu/&ManageCharactersDescription	Створіть/перегляньте/відредагуйте свій пул персонажів.
MainMenu/&ManageCharactersTitle	Персонажі
MainMenu/&NewAdventureDescription	Запустити нову гру з командою пригодників.
MainMenu/&NewAdventureTitle	Нова пригода
MainMenu/&NewCharacterDescription	Створіть нового персонажа та виберіть походження, клас, фон тощо.
MainMenu/&NewCharacterTitle	Новий персонаж
MainMenu/&PredefinedPartyTitle	Готова група
MainMenu/&PrivacyDescription	Керуйте налаштуваннями конфіденційності.
MainMenu/&PrivacyTitle	Конфіденційність
MainMenu/&QuitDescription	Вихід з гри та повернення на робочий стіл.
MainMenu/&QuitTitle	Вихід
MainMenu/&SaveDateHeader	Дата збереження
MainMenu/&SelectCharacterSlotDescription	Оберіть персонажа з пулу персонажів.
MainMenu/&SelectCharacterSlotTitle	Вибрати
MainMenu/&SettingsDescription	Налаштувати параметри програми.
MainMenu/&SettingsTitle	Налаштування
MainMenu/&StartGameDescription	Запустити кампанію з обраними персонажами.
MainMenu/&StartGameTitle	Почати гру
MainMenu/&StartingLevelTitle	Потрібний рівень:
MainMenu/&CharacterSourceTogglePregenDescription	Відображати лише персонажів, сгенерованих грою.
MainMenu/&CharacterSourceTogglePregenTitle	Передгенеровані
MainMenu/&CharacterSourceTogglePersonalDescription	Відображати лише персонально створені персонажі.
MainMenu/&CharacterSourceTogglePersonalTitle	Особистий
MainMenu/&CharacterSourceToggleAllDescription	Відобразити всіх персонажів.
MainMenu/&CharacterSourceToggleAllTitle	Усі
MainMenu/&CharacterSortAlphaneticalTitle	Назва
MainMenu/&CharacterSortCharacterLevelTitle	Рівень
MainMenu/&CharacterSortCharacterClassTitle	Клас
MainMenu/&CharacterSortCharacterAncestryTitle	Рід
Action/&ActionTeleportDescription	Телепортуватися
Action/&UnhideTitle	Вийти з укриття
Action/&UnhideDescription	Приховування закінчується безкоштовною дією.
Action/&ActionStatusCannotPerformDetectedDescription	Цю дію можна виконувати лише якщо персонаж не помічений. Перервіть лінію зору, щоб продовжити.
MainMenu/&DifficultySettingCustomizationLabel	Детальні налаштування можна змінити в меню параметрів гри.
Action/&BreakFreeTitle	Звільнитися
Action/&BreakFreeDescription	Витратьте свою дію, щоб звільнитися силою чи спритністю.
Action/&BreakEnchantmentTitle	Зламати чари
Action/&BreakEnchantmentDescription	Дотримайся істоти, щоб прибрати шкідливий стан (зачарований, переляканий, опанований).
Action/&DismissalTitle	Відпущення
Action/&DismissalDescription	Виконати ближній магічний напад, щоб відправити надпланарного небесного, елементальне істоту, фею, демонічну істоту або нежить на їхню площину існування.
Action/&AttackToss_Title	Кинути
MainMenu/&CreditsTitle	Кредити гри
MainMenu/&CreditsDescription	Показати кредити гри Solasta: Crown of the Magister.
MainMenu/&UserLocationsBrowseModIOTitle	Оглянути Mod.IO
MainMenu/&UserLocationsRefreshDescription	Оновити підписані місця. Чекайте кілька секунд між підпискою/відпискою та оновленням.
MainMenu/&UserLocationsLogoutTitle	Вихід
MainMenu/&UserLocationsLogoutDescription	Вийти з Mod.IO
MainMenu/&UserLocationsLoggedInAsTitle	Увійшов як:
MainMenu/&UserLocationsTitle	Конструктор підземелля
MainMenu/&UserLocationsDescription	Оберіть підземелля та локації, створені спільнотою, щоб редагувати або грати в них, або створити власні
MainMenu/&UserLocationsBrowserTitle	Локації користувачів
MainMenu/&UserLocationsSortTitleTitle	Назва
MainMenu/&UserLocationsSortLevelTitle	Рівень
MainMenu/&UserLocationsSortSizeTitle	Розмір
MainMenu/&UserLocationsSortEnvironmentTitle	Оточення
MainMenu/&UserLocationsSortOperationalTitle	Підготувати дію
MainMenu/&UserLocationsSortOperationalYesTitle	Так
MainMenu/&UserLocationsSortOperationalNoTitle	Ні
MainMenu/&UserLocationsNewTitle	Нове місце
MainMenu/&UserLocationsNewDescription	Створює нове місце користувача
MainMenu/&UserLocationsEditTitle	Редагувати
MainMenu/&UserLocationsEditDescription	Редагує вибране місце користувача
MainMenu/&UserLocationsDeleteTitle	Видалити
MainMenu/&UserLocationsDeleteDescription	Видаляє образне місце користувача
MainMenu/&UserLocationHeaderTitle	Місце користувача
MainMenu/&UserLocationChangeButtonTitle	Змінити
MainMenu/&DungeonMakerBetaTitle	Бета-версія
MainMenu/&UserLocationsSortAuthorTitle	Автор
MainMenu/&UserLocationSizeFormat	{0}x{1}
MainMenu/&UserLocationsBrowseFilesTitle	Переглянути файли
MainMenu/&UserLocationsBrowseFilesDescription	Відкриває системну папку, що містить JSON-файли місця користувача
MainMenu/&UserLocationsPublishTitle	Опублікувати
MainMenu/&UserLocationsPlaytestTitle	Тестування
MainMenu/&UserLocationsPlaytestDescription	Швидкий запуск обраного місця з заздалегідь визначеною групою
MainMenu/&UserLocationsPlayLocationTitle	Грати
MainMenu/&UserLocationsPlayLocationDescription	Налаштуйте гру з цим місцем і виберіть компанію персонажів
MainMenu/&UserLocationsBrowseWorkshopTitle	Оглянути майстерню
MainMenu/&UserLocationsBrowseWorkshopDescription	Відкриває майстерню, щоб переглянути місця, створені іншими гравцями
MainMenu/&UserContentSortLocationsCountTitle	Місця
MainMenu/&UserCampaignsNewTitle	Нова кампанія
MainMenu/&UserCampaignsNewDescription	Створює нову користувацьку кампанію
MainMenu/&UserCampaignsEditTitle	Редагувати
MainMenu/&UserCampaignsEditDescription	Редагує вибрану кампанію користувача
MainMenu/&UserCampaignsDeleteDescription	Видаляє вибрану користувацьку кампанію
MainMenu/&UserCampaignsPlayTitle	Грати
MainMenu/&UserCampaignsPlayDescription	Починає сеанс гри у вибраній кампанії
MainMenu/&UserContentBrowseFilesTitle	Огляд файлів
MainMenu/&UserContentBrowseFilesDescription	Відкриває системну папку, що містить JSON-файли з користувацьким вмістом
MainMenu/&UserItemsNewTitle	Новий предмет
MainMenu/&UserItemsNewDescription	Створює новий користувацький предмет
MainMenu/&UserItemsEditDescription	Редагує вибраний користувацький предмет
MainMenu/&UserItemsDeleteDescription	Видаляє вибраний користувацький предмет
MainMenu/&UserMonstersNewTitle	Нова істота
MainMenu/&UserMonstersNewDescription	Створює нового користувацького монстра
MainMenu/&UserMonstersEditDescription	Редагує вибраного користувацького монстра
MainMenu/&UserMonstersDeleteDescription	Видаляє вибраного користувацького монстра
MainMenu/&UserNpcsNewTitle	Новий НПС
MainMenu/&UserNpcsNewDescription	Створює нового користувацького NPC
MainMenu/&UserNpcsEditDescription	Редагує вибраного користувацького NPC
MainMenu/&UserNpcsDeleteDescription	Видаляє вибраного користувацького NPC
MainMenu/&UserMerchantInventoryNewTitle	Новий інвентар
MainMenu/&UserMerchantInventoryNewDescription	Створює новий користувацький інвентар торговця
MainMenu/&UserMerchantInventoryEditDescription	Редагує вибраний користувацький інвентар торговця
MainMenu/&UserMerchantInventoryDeleteDescription	Видаляє вибраний користувацький інвентар торговця
MainMenu/&UserContentRefreshTitle	Оновити
MainMenu/&UserContentRefreshDescription	Оновити список користувацького контенту, зібраного через цей майстер-клас
MainMenu/&UserContentSubscribedSteamDescription	Цей контент підписано та завантажено з Steam Workshop
MainMenu/&UserContentSubscribedModIODescription	Цей контент підписано та завантажено з Mod.IO
MainMenu/&UserLocationsPublishDescription	Відкриває інтерфейс для публікації контенту в мережі
MainMenu/&SessionTypeHeaderDescription	Сеанси гри можуть бути новими іграми або збереженими іграми.
MainMenu/&RequestCharacterSlotTitle	ЗАПИТ
MainMenu/&RequestCharacterSlotDescription	Запитати про гру цим персонажем
MainMenu/&SessionPlayersTitle	Гравці в кімнаті:
MainMenu/&CreateGameToggleTitle	Створити гру
MainMenu/&JoinGameToggleTitle	Приєднатися до гри
MainMenu/&AutoNetworkRegionTitle	Авто
MainMenu/&RequestedByDescription	Запитаний:
MainMenu/&LoadAdventureTitle	Продовжити пригоду
MainMenu/&ChangeCampaignDescription	Дивись доступні пригоди.
MainMenu/&ChangeCharacterSlotDescription	Оберіть іншого персонажа.
MainMenu/&DeleteCharacterDescription	Видалити цього персонажа з пулу.
Action/&SunbeamTitle	Сонячний промінь
Action/&SunbeamDescription	Ви можете використовувати свою дію кожного ходу, щоб атакувати істоту сонячним променем на 6d8 світлового ушкодження. Нежить та слизні роблять кидок рятунку з перешкою.
Action/&RageStartDescription	Надає вам перевагу на кидках рятунку та перевірках сили, бонус до шкоди від ближніх атак і стійкість до рубаного, тупого та колючого ушкодження протягом 1 хвилини. Ви отримуєте ці переваги лише якщо не одягнені в важку броню. Ви повинні атакувати або зазнавати шкоди кожного раунду, інакше лють завершиться раніше.
Action/&RageStartTitle	Лють
Action/&RageStopDescription	Найближчим часом припиняє вашу лють, але все одно використовує очко люті
Action/&RageStopTitle	Завершити лють
Action/&RecklessAttackDescription	Перед тим, як ви зробите свій перший удар за хід, ви можете вирішити атакувати без розваги. Це дає вам перевагу при кидках атак ближнього бою з використанням Сили протягом цього ходу, але кидки атак проти вас мають перевагу до вашого наступного ходу.
Action/&RecklessAttackTitle	Безрозважна атака
Action/&RevertShapeTitle	Повернути форму
Action/&RevertShapeDescription	Повернись до свого природного вигляду.
Action/&SpiritRallyTitle	Духовний злет
Action/&SpiritRallyDescription	Якщо ви не в бою, ви можете призвати свого духа-побратима. Він подорожує через свою рідну площину, ігноруючи перешкоди, щоб телепортуватися до вас.
Action/&CastSpellHigherSlotAddWeaponDieTile	Збільшити кубик пошкодження зброї на {0}.
Action/&RecallItemTitle	Повернути предмет
Action/&RecallItemDescription	Відкликати предмет, створений ефектом {0}.
Action/&ReapplyEffectTitle	Повторити дію ефекту
Action/&ReapplyEffectDescription	Повторити дію {0}
Action/&ActionStatusMissingFreeHandDescription	Для виконання цієї дії потрібна вільна рука.
MainMenu/&RefreshDLCTitle	Оновити DLC
MainMenu/&RefreshDLCDescription	Це перевірить ваші ліцензії на DLC у онлайн-магазині.
MainMenu/&MultiplayerTitle	Мультиплеєр
MainMenu/&MultiplayerDescription	Дозволяє створити або приєднатися до мультиплеєрної сесії гри.
MainMenu/&MultiplayerAlphaTitle	Альфа
MainMenu/&SessionParameterNameTitle	Назва сесії
MainMenu/&SessionParameterNameDescription	Назва, якою посилаються на цю сесію гри та за допомогою якої можна до неї приєднатися.
MainMenu/&SessionParameterPasswordTitle	Пароль
MainMenu/&SessionParameterPasswordDescription	Пароль, необхідний для входу до сесії. Якщо поле порожнє, пароль не потрібен
MainMenu/&SessionParameterVisibilityTitle	Видимість
MainMenu/&SessionParameterVisibilityDescription	Визначає, чи видима ця сесія гри для інших гравців або прихована.
MainMenu/&SessionParameterVisibilityPublicTitle	Публічна
MainMenu/&SessionParameterVisibilityPrivateTitle	Приватний
MainMenu/&SessionParameterMaxPlayersTitle	Макс. гравців
MainMenu/&SessionParameterMaxPlayersDescription	Максимальна кількість гравців, які можуть приєднатися до цієї сесії, включаючи хоста.
MainMenu/&CreateGameButtonDescription	Підтвердіть створення ігрової сесії та перейдіть до панелі «Нове пригодження».
MainMenu/&JoinGameButtonDescription	Приєднатися до обраного сеансу гри.
MainMenu/&JoinGameSessionNameDescription	Назва сеансу гри, до якого ви хочете приєднатися. Ви можете ввести назву приватної гри, якщо вона у вас є, оскільки список вище показує лише публічні ігри.
MainMenu/&RefreshListButtonTitle	Оновити список
MainMenu/&RefreshListButtonDescription	Оновіть список сеансів гри.
MainMenu/&RefreshingRoomsTitle	Оновлення…
MainMenu/&LockedHeaderTitle	Заблоковано
MainMenu/&LockedHeaderDescription	Деякі ігрові сесії закриті та вимагають пароля для входу.
MainMenu/&PlayersHeaderTitle	Гравці
MainMenu/&PlayersHeaderDescription	Кількість гравців (поточна/максимальна) для цієї сесії гри
MainMenu/&CampaignHeaderTitle	Кампанія
MainMenu/&CampaignHeaderDescription	Назва кампанії або місця, яке використовується в цій гравці.
MainMenu/&InvitePlayerButtonTitle	Запросити
MainMenu/&InvitePlayerButtonDescription	Запросити гравця приєднатися до гри.
MainMenu/&RemotePlayerStatusMissingPlayerTitle	Відсутній гравець
MainMenu/&RemotePlayerStatusSelectingCharacterTitle	Вибір персонажа
MainMenu/&RemotePlayerStatusReadyTitle	Готовий
MainMenu/&ReadyGameTitle	Готовий
MainMenu/&ReadyGameDescription	Сповісти інших, що ти готовий розпочати гру.
MainMenu/&StopReadyGameTitle	Скасувати
MainMenu/&StopReadyGameDescription	Скасуйте свій статус "Готовий".
MainMenu/&LoadMultiplayerGameButtonTitle	Завантажити гру
MainMenu/&LoadMultiplayerGameButtonDescription	Відкрити панель завантаження, щоб вибрати багатокористувацьку гру.
MainMenu/&SessionTypeHeaderTitle	Тип
MainMenu/&SessionTypeNewDescription	Це нова сесія, яка тільки починається.
MainMenu/&SessionTypeSavedDescription	Ця сесія базується на збереженій грі з заданим списком персонажів гравців.
MainMenu/&SessionParameterAllowCrossplayTitle	Дозволити крос-плей
MainMenu/&SessionParameterAllowCrossplayDescription	Визначає, чи дозволяється в цій грі грати з іншими платформами.
MainMenu/&CrossplayHeaderTitle	Крос-плей
MainMenu/&CrossplayHeaderDescription	Деякі ігри дозволяють гравцям з інших платформ.
Action/&AttackExecuteAdvantageGamepadDescription	Натисніть <sprite index={0}>, щоб атакувати ціль із перевагою!
Action/&AttackExecuteGamepadDescription	Натисніть <sprite index={0}>, щоб атакувати ціль!
Action/&AttackExecuteDisadvantageGamepadDescription	Натисніть <sprite index={0}>, щоб атакувати ціль з перешкодою.
Action/&SpellExecuteGamepadDescription	Натисніть <sprite index={0}>, щоб вибрати цю ціль для вашого закляття.
MainMenu/&JoiningGameLockedTitle	Триває завантаження - будь ласка, зачекайте.
Action/&CastInvocationTitle	Виклик
Action/&CastInvocationDescription	Оберіть виклик, який може активувати ефект подібний до закляття. Інші виклики постійні і не потребують конкретного виклику.
Action/&FlurryOfBlowsTitle	Серія ударів
Action/&FlurryOfBlowsDescription	Після використання дії "Атака" у свій хід, ви можете витратити 1 очко Кі для нанесення двох ударів без зброї як бонусну дію.
Action/&MartialArtsTitle	Бойові мистецтва - бонусний удар без зброї
Action/&MartialArtsDescription	Коли ви використовуєте дію "Атака" з ударом без зброї або зброєю монаха під час вашого ходу, ви можете зробити один удар без зброї як бонусну дію. Наприклад, якщо ви виконуєте дію "Атака" і атакуєте квіртерстафом, ви також можете зробити удар без зброї як бонусну дію, припускаючи, що ви ще не використовували бонусну дію цього ходу.
Action/&FlurryOfBlowsSwiftStepsTitle	Серія ударів – покращений
Action/&FlurryOfBlowsSwiftStepsDescription	Після використання дії Атакувати у свій хід ти можеш витратити 1 очко Кі, щоб зробити два удари без зброї як бонусну дію. Крім того, ти отримуєш перевагу при наступному атакуванні та користуєшся дією Ривок до кінця свого ходу.
Action/&FlurryOfBlowsUnendingStrikesTitle	Серія ударів - покращений II
Action/&FlurryOfBlowsUnendingStrikesDescription	Після використання дії Атаку в вашому ході ви можете витратити 1 Кі-очко, щоб зробити три удари без зброї як бонусну дію.
Action/&OpenHandTechniqueTitle	Техніка відкритої долоні
Action/&OpenHandTechniqueDescription	Виберіть, який ефект накласти на ціль вашим наступним ударом у вигляді хвилі ударів.
Action/&DelayedBlastFireballDetonateTitle	Вибухнути відкладену вибухову вогняну кулю
Action/&DelayedBlastFireballDetonateDescription	Вибухніть відкладену вибухову вогняну кулю.
Action/&PersistentRageStartDescription	Ви маєте перевагу при кидках рятунку та перевірках сили, бонус до шкоди від ближніх атак і стійкість до рубаного, тупого та колючого пошкодження. Ваша лють настільки жорстока, що закінчується лише якщо ви втратите свідомість, вирішите її завершити або пройде 1 хвилина. Ви отримуєте ці переваги тільки якщо не носите важку броню.
Action/&DragonWingsDismissTitle	Зняти
Action/&DragonWingsDismissDescription	Знімає крила дракона та здатність літати.
Action/&SongOfHopeTitle	Пісня надії
Action/&SongOfHopeDescription	Спів співаємо пісню надії, щоб допомогти союзникам у радіусі 6 клітинок, надаючи їм стійкість до будь-якого збитку та перевагу при всіх їхніх кидках рятунку до початку вашого наступного ходу.
Action/&SpiritRageTitle	Лють духу
Action/&SpiritRageDescription	Потужніша броня та кидки на шкоду вашого спільного духу, а також бонусний удар протягом 1 хвилини.
MainMenu/&ImportCharactersTitle	Імпорт збереження
Action/&ActionStatusCannotPerformDetectedOrInBrightLightDescription	Ви не можете виконати цю дію, якщо знаходитесь у світлі або темряві поза полем зору ворога.
MainMenu/&ImportCharactersDescription	Це дозволяє імпортувати персонажів та відповідну інформацію про гру з вже збереженої гри іншої кампанії.
MainMenu/&NotRecommendedSaveToImportDescription	Не рекомендується - Цей збережений файл кампанії не повністю сумісний. Імпортуватимуться лише персонажі, а рішення гравців з цієї кампанії не будуть перенесені.
MainMenu/&RecommendedSaveToImportDescription	Рекомендується - Однак це не найновіший збережений файл для цієї кампанії.
MainMenu/&TopRecommendedSaveToImportDescription	Найбільш рекомендовано
MainMenu/&ImportedCharacterFromSaveDescription	Цей персонаж імпортований з збереження.
Action/&PersistentRageStartTitle	Тривала лють
MainMenu/&CharactersImportedTitle	Файл збереження успішно імпортовано.
MainMenu/&CharactersImportedMultiplayerTitle	Файл збереження успішно імпортовано. Персонажі додані до меню вибору.
MainMenu/&CharactersImportFailedTitle	Файл збереження не вдалося імпортувати.
MainMenu/&ReservedCharacterSlotTitle	Зарезервовано
MainMenu/&ReservedCharacterSlotDescription	Це місце зарезервоване для інших гравців, які приєднуються до сесії.
MainMenu/&BuiltInCharacterDescription	Це передгенерований (стандартний) персонаж із Solasta.
CharacterTemplate/&RosLastName	Рос
